"caja";"fact_anul";"fact_cred";"codi_clie";"codi_fact";"vcr_num_fac";"vcr_fecha";"vcr_suman";"vcr_iva";"vcr_tipo";"vcr_divisa";"usuario"
"003";FALSO;FALSO;"9999999";"0000125520";"0000146";"2019-03-01";11.06;1.33;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000125614";"0000157";"2019-03-06";6.47;0.78;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000125617";"0000159";"2019-03-06";21.29;2.55;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000125618";"0000160";"2019-03-06";14.01;1.68;E;USD;"010"
"003";VERDADERO;FALSO;"9999999";"0000125641";"0000163";"2019-03-06";7.63;0.92;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000125745";"0000419";"2019-03-07";21.97;2.64;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125746";"0000420";"2019-03-07";8.39;1.01;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125759";"0000426";"2019-03-07";41.19;4.86;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125765";"0000428";"2019-03-07";11.34;1.36;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125770";"0000432";"2019-03-07";106.05;12.73;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000125772";"0000170";"2019-03-07";15.54;1.86;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000125774";"0000171";"2019-03-07";13.13;1.58;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000125795";"0000442";"2019-03-07";7.59;0.91;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125840";"0000459";"2019-03-08";19.58;2.35;E;USD;"011"
"004";FALSO;FALSO;"9999999";"0000125843";"0000460";"2019-03-08";16.07;1.93;E;USD;"011"
"004";FALSO;FALSO;"9999999";"0000125917";"0000488";"2019-03-09";8.08;0.97;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125920";"0000490";"2019-03-09";7.16;0.86;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125921";"0000491";"2019-03-09";5.27;0.63;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125922";"0000492";"2019-03-09";5.27;0.63;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125924";"0000494";"2019-03-09";4.60;0.55;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125925";"0000495";"2019-03-09";26.79;3.21;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125927";"0000496";"2019-03-09";17.28;2.07;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125940";"0000499";"2019-03-09";7.90;0.95;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125941";"0000500";"2019-03-09";1.03;0.12;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125946";"0000502";"2019-03-09";19.42;2.33;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125952";"0000504";"2019-03-09";16.09;1.93;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125962";"0000505";"2019-03-09";17.71;2.13;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125963";"0000506";"2019-03-09";4.28;0.51;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125967";"0000509";"2019-03-09";6.04;0.72;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125983";"0000512";"2019-03-11";2.88;0.35;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000125997";"0000186";"2019-03-11";15.00;1.80;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126003";"0000520";"2019-03-11";44.22;5.31;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126009";"0000524";"2019-03-11";59.78;7.17;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126015";"0000526";"2019-03-11";11.38;1.37;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126025";"0000530";"2019-03-11";3.07;0.37;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126026";"0000531";"2019-03-11";9.62;1.15;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126047";"0000192";"2019-03-11";11.30;1.36;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126078";"0000200";"2019-03-11";2.28;0.27;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126125";"0000207";"2019-03-12";11.16;1.34;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126192";"0000223";"2019-03-12";11.76;1.41;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000126210";"0000229";"2019-03-12";26.12;3.13;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126287";"0000603";"2019-03-13";11.55;1.39;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126288";"0000604";"2019-03-13";8.80;1.06;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126309";"0000247";"2019-03-13";2.81;0.34;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126344";"0000624";"2019-03-14";9.20;1.10;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126422";"0000650";"2019-03-14";39.78;4.77;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126423";"0000651";"2019-03-14";205.70;24.68;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126555";"0000285";"2019-03-16";14.52;1.33;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126598";"0000290";"2019-03-16";4.93;0.59;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126605";"0000292";"2019-03-16";3.30;0.40;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126703";"0000743";"2019-03-18";4.56;0.55;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126710";"0000745";"2019-03-18";3.13;0.38;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126728";"0000752";"2019-03-19";10.62;1.27;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126738";"0000756";"2019-03-19";8.04;0.96;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126743";"0000759";"2019-03-19";1.79;0.21;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000126753";"0000313";"2019-03-19";82.50;9.90;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126778";"0000318";"2019-03-19";3.04;0.36;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126785";"0000319";"2019-03-19";5.58;0.67;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126843";"0000796";"2019-03-20";1.31;0.16;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126848";"0000797";"2019-03-20";8.78;1.05;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126881";"0000806";"2019-03-20";2.60;0.31;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126883";"0000333";"2019-03-20";20.87;2.50;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126885";"0000334";"2019-03-20";6.07;0.73;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126911";"0000338";"2019-03-20";9.01;1.08;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000126912";"0000339";"2019-03-20";27.86;3.34;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000126923";"0000816";"2019-03-21";4.38;0.53;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126926";"0000818";"2019-03-21";7.96;0.96;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000126938";"0000824";"2019-03-21";9.07;1.09;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126944";"0000827";"2019-03-21";3.97;0.48;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126972";"0000838";"2019-03-21";4.87;0.58;E;USD;"009"
"004";VERDADERO;FALSO;"9999999";"0000126976";"0000840";"2019-03-21";18.48;2.22;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000126977";"0000841";"2019-03-21";41.65;5.00;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127017";"0000851";"2019-03-22";6.47;0.78;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127018";"0000852";"2019-03-22";14.74;1.77;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127039";"0000859";"2019-03-22";3.98;0.48;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127050";"0000865";"2019-03-22";6.43;0.77;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000127069";"0000355";"2019-03-22";8.04;0.96;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127088";"0000876";"2019-03-22";4.29;0.51;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127100";"0000884";"2019-03-22";9.36;1.12;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127121";"0000892";"2019-03-23";55.63;6.68;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127127";"0000895";"2019-03-23";3.17;0.38;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127129";"0000897";"2019-03-23";10.69;1.28;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127149";"0000904";"2019-03-23";5.58;0.67;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000127184";"0000909";"2019-03-23";8.93;1.07;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127199";"0000913";"2019-03-25";5.22;0.63;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127240";"0000930";"2019-03-25";9.46;1.14;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000127262";"0000375";"2019-03-25";16.08;1.93;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000127323";"0000386";"2019-03-26";11.86;1.42;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000127338";"0000388";"2019-03-26";5.40;0.65;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127393";"0000970";"2019-03-26";9.14;1.10;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127405";"0000971";"2019-03-26";4.69;0.56;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000127458";"0000404";"2019-03-27";4.78;0.57;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000127459";"0000405";"2019-03-27";11.03;1.32;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000127471";"0000407";"2019-03-27";7.37;0.88;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127477";"0000998";"2019-03-27";1.16;0.14;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127486";"0001003";"2019-03-27";13.15;1.58;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000127539";"0000409";"2019-03-28";5.39;0.65;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127548";"0001027";"2019-03-28";1.38;0.17;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127553";"0001028";"2019-03-28";2.37;0.28;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127568";"0001036";"2019-03-28";8.08;0.97;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127694";"0001073";"2019-03-29";4.60;0.55;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127728";"0001086";"2019-03-29";6.65;0.80;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127742";"0001090";"2019-03-29";2.62;0.31;E;USD;"005"
"003";VERDADERO;FALSO;"9999999";"0000127872";"0000438";"2019-04-01";19.51;2.34;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000127873";"0000439";"2019-04-01";10.27;1.23;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000127874";"0000440";"2019-04-01";8.08;0.97;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000127880";"0001132";"2019-04-01";17.19;2.06;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000127900";"0001138";"2019-04-01";0.18;0.02;E;USD;"010"
"003";VERDADERO;FALSO;"9999999";"0000127973";"0000450";"2019-04-02";3.13;0.38;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128007";"0001181";"2019-04-02";5.45;0.65;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128015";"0001183";"2019-04-02";4.46;0.54;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128046";"0001197";"2019-04-03";3.27;0.39;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128064";"0001205";"2019-04-03";4.15;0.50;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000128075";"0000455";"2019-04-03";4.50;0.54;E;USD;"010"
"004";VERDADERO;FALSO;"9999999";"0000128084";"0001212";"2019-04-03";1.89;0.23;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128086";"0001213";"2019-04-03";5.64;0.68;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128106";"0001219";"2019-04-03";35.68;4.28;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128136";"0001229";"2019-04-04";21.34;2.56;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128143";"0001232";"2019-04-04";18.13;2.18;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128157";"0001235";"2019-04-04";7.20;0.86;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128158";"0001236";"2019-04-04";2.59;0.31;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128159";"0001237";"2019-04-04";8.62;1.03;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128164";"0001241";"2019-04-04";9.11;1.09;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128174";"0001245";"2019-04-04";20.71;2.49;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128176";"0001246";"2019-04-04";10.85;1.30;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128179";"0001247";"2019-04-04";22.32;2.68;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128180";"0001248";"2019-04-04";4.87;0.58;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128186";"0001250";"2019-04-04";10.76;1.29;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128199";"0001253";"2019-04-04";7.14;0.86;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000128212";"0000467";"2019-04-04";5.58;0.67;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000128229";"0001260";"2019-04-04";2.81;0.34;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000128241";"0000470";"2019-04-05";5.27;0.63;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000128243";"0000472";"2019-04-05";15.49;1.86;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000128278";"0001276";"2019-04-05";13.17;1.58;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128288";"0001278";"2019-04-05";1.16;0.14;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128298";"0001283";"2019-04-05";9.43;1.13;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000128318";"0000483";"2019-04-05";26.52;3.18;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000128320";"0000484";"2019-04-05";8.63;1.04;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000128321";"0000485";"2019-04-05";12.16;1.46;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000128322";"0000486";"2019-04-05";4.58;0.55;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128338";"0001294";"2019-04-05";5.18;0.62;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128352";"0001300";"2019-04-05";23.08;2.77;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128366";"0001304";"2019-04-05";9.64;1.16;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128368";"0001305";"2019-04-05";8.48;1.02;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128370";"0001306";"2019-04-05";2.32;0.28;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000128432";"0000490";"2019-04-06";44.55;5.35;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000128436";"0000491";"2019-04-06";28.93;3.13;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128476";"0001343";"2019-04-08";11.74;1.41;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128477";"0001344";"2019-04-08";3.43;0.41;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128487";"0001348";"2019-04-08";5.04;0.60;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128489";"0001349";"2019-04-08";9.00;1.08;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128490";"0001350";"2019-04-08";8.26;0.99;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000128491";"0000494";"2019-04-08";4.87;0.58;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000128557";"0001380";"2019-04-08";6.70;0.80;E;USD;"005"
"004";VERDADERO;FALSO;"9999999";"0000128558";"0001381";"2019-04-08";23.17;2.78;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128603";"0001396";"2019-04-09";9.64;1.16;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128619";"0001400";"2019-04-09";17.42;2.09;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128621";"0001401";"2019-04-09";6.50;0.78;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128627";"0001404";"2019-04-09";20.84;2.50;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128696";"0001432";"2019-04-10";1.70;0.20;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128697";"0001433";"2019-04-10";2.86;0.34;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128774";"0001468";"2019-04-10";5.38;0.65;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128786";"0001470";"2019-04-10";1.98;0.24;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128844";"0001485";"2019-04-11";13.50;1.62;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128849";"0001486";"2019-04-11";0.70;0.08;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128873";"0001498";"2019-04-11";3.44;0.41;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128888";"0001507";"2019-04-11";3.37;0.40;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128891";"0001508";"2019-04-11";33.88;4.07;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128893";"0001509";"2019-04-11";2.68;0.32;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128905";"0001516";"2019-04-11";7.81;0.94;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128916";"0001520";"2019-04-11";5.76;0.69;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128917";"0001521";"2019-04-11";15.71;1.89;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128926";"0001526";"2019-04-12";6.16;0.74;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128939";"0001531";"2019-04-12";5.73;0.69;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128940";"0001532";"2019-04-12";19.02;2.28;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128943";"0001534";"2019-04-12";4.16;0.50;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128952";"0001541";"2019-04-12";13.13;1.58;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000128953";"0001542";"2019-04-12";1.55;0.00;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128955";"0001543";"2019-04-12";16.18;1.76;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128956";"0001544";"2019-04-12";8.55;1.03;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128957";"0001545";"2019-04-12";12.80;1.54;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128960";"0001547";"2019-04-12";11.38;1.37;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000128976";"0001552";"2019-04-12";26.61;3.19;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000129105";"0001601";"2019-04-13";14.87;1.78;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000129108";"0001602";"2019-04-13";8.12;0.97;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000129165";"0001619";"2019-04-15";2.96;0.36;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000129167";"0001620";"2019-04-15";1.90;0.23;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000129198";"0001628";"2019-04-15";2.05;0.25;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000129207";"0001632";"2019-04-15";56.21;6.75;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000129211";"0000530";"2019-04-15";13.53;1.62;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000129225";"0001638";"2019-04-15";3.50;0.42;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000129280";"0001655";"2019-04-16";16.79;2.01;E;USD;"009"
